precision,recall,f1-score,support,Time
0.91,0.82,0.86,1561,
0.84,0.78,0.81,648,
0.69,0.85,0.76,571,
0.99,0.99,0.99,434,
0.85,0.96,0.9,620,
0.97,0.96,0.97,174,
0.94,0.9,0.92,381,
0.9,0.77,0.83,1580,
0.79,0.85,0.82,1334,
0.83,0.88,0.85,401,
0.73,0.7,0.72,149,
0.96,0.87,0.91,932,
0.82,0.89,0.85,2310,
0.92,0.98,0.95,175,
0.97,0.94,0.95,1004,
0.9,0.87,0.88,428,
0.93,0.91,0.92,372,
0.81,0.86,0.83,585,
0.86,0.86,0.86,0.86,
0.87,0.88,0.87,13659,
0.87,0.86,0.87,13659,3 min 54 sec
