,precision,recall,f1-score,support
Ayeyarwady,0.8,0.9,0.84,1283.0
Bago (East),0.67,0.53,0.59,498.0
Bago (West),0.82,0.47,0.6,402.0
Chin,0.96,0.96,0.96,451.0
Kachin,0.95,0.86,0.91,552.0
Kayah,0.92,0.92,0.92,148.0
Kayin,0.86,0.82,0.84,333.0
Magway,0.78,0.78,0.78,1138.0
Mandalay,0.69,0.8,0.74,903.0
Mon,0.88,0.92,0.9,311.0
Nay Pyi Taw,0.89,0.25,0.39,96.0
Rakhine,0.83,0.96,0.89,755.0
Sagaing,0.84,0.87,0.86,1559.0
Shan (East),0.76,0.86,0.8,172.0
Shan (North),0.9,0.97,0.93,915.0
Shan (South),0.89,0.68,0.77,330.0
Tanintharyi,0.87,0.9,0.89,311.0
Yangon,0.88,0.63,0.73,403.0
accuracy,0.8267992424242424,0.8267992424242424,0.8267992424242424,0.8267992424242424
macro avg,0.84,0.78,0.8,10560.0
weighted avg,0.83,0.83,0.82,10560.0
top_3_accuracy,0.9606060606060606,0.9606060606060606,0.9606060606060606,0.9606060606060606
