precision,recall,f1-score,support
0.84,0.86,0.85,1561.0
0.82,0.77,0.8,648.0
0.84,0.71,0.77,571.0
0.99,0.97,0.98,434.0
0.93,0.92,0.92,620.0
0.98,0.95,0.96,174.0
0.93,0.9,0.92,381.0
0.78,0.85,0.81,1580.0
0.82,0.79,0.8,1334.0
0.89,0.81,0.85,401.0
0.86,0.63,0.73,149.0
0.88,0.91,0.9,932.0
0.82,0.87,0.84,2310.0
0.97,0.94,0.96,175.0
0.96,0.95,0.95,1004.0
0.93,0.86,0.89,428.0
0.93,0.91,0.92,372.0
0.85,0.82,0.83,585.0
0.86,0.86,0.86,0.86
0.89,0.86,0.87,13659.0
0.86,0.86,0.86,13659.0
