precision,recall,f1-score,support
0.24,0.74,0.36,1561.0
0.0,0.0,0.0,648.0
0.0,0.0,0.0,571.0
0.0,0.0,0.0,434.0
0.0,0.0,0.0,620.0
0.0,0.0,0.0,174.0
0.0,0.0,0.0,381.0
0.24,0.19,0.21,1580.0
0.0,0.0,0.0,1334.0
0.0,0.0,0.0,401.0
0.0,0.0,0.0,149.0
0.0,0.0,0.0,932.0
0.51,0.87,0.64,2310.0
0.0,0.0,0.0,175.0
0.26,0.98,0.41,1004.0
0.0,0.0,0.0,428.0
0.0,0.0,0.0,372.0
0.0,0.0,0.0,585.0
0.32,0.32,0.32,0.32
0.07,0.15,0.09,13659.0
0.16,0.32,0.21,13659.0
