precision,recall,f1-score,support
0.82,0.85,0.84,1561.0
0.79,0.76,0.78,648.0
0.76,0.77,0.76,571.0
1.0,0.98,0.99,434.0
0.94,0.89,0.92,620.0
0.95,0.95,0.95,174.0
0.9,0.89,0.9,381.0
0.86,0.79,0.82,1580.0
0.78,0.82,0.8,1334.0
0.87,0.82,0.84,401.0
0.6,0.38,0.47,149.0
0.91,0.89,0.9,932.0
0.8,0.87,0.83,2310.0
0.95,0.95,0.95,175.0
0.93,0.95,0.94,1004.0
0.91,0.87,0.89,428.0
0.9,0.89,0.89,372.0
0.85,0.81,0.83,585.0
0.85,0.85,0.85,0.85
0.86,0.84,0.85,13659.0
0.85,0.85,0.85,13659.0
