precision,recall,f1-score,support
0.84,0.86,0.85,1561.0
0.79,0.79,0.79,648.0
0.92,0.68,0.78,571.0
1.0,0.98,0.99,434.0
0.93,0.88,0.9,620.0
0.98,0.95,0.96,174.0
0.97,0.87,0.91,381.0
0.74,0.89,0.81,1580.0
0.79,0.8,0.8,1334.0
0.97,0.77,0.86,401.0
0.8,0.69,0.74,149.0
0.9,0.91,0.9,932.0
0.82,0.86,0.84,2310.0
0.99,0.93,0.96,175.0
0.92,0.98,0.95,1004.0
0.93,0.84,0.88,428.0
0.95,0.89,0.92,372.0
0.98,0.74,0.84,585.0
0.86,0.86,0.86,0.86
0.9,0.85,0.87,13659.0
0.86,0.86,0.86,13659.0
