precision,recall,f1-score,support
0.69,0.84,0.76,1561.0
0.83,0.65,0.73,648.0
0.76,0.7,0.73,571.0
0.97,0.9,0.94,434.0
0.86,0.84,0.85,620.0
0.91,0.83,0.87,174.0
0.86,0.79,0.82,381.0
0.77,0.72,0.75,1580.0
0.7,0.76,0.73,1334.0
0.85,0.75,0.8,401.0
0.81,0.64,0.72,149.0
0.87,0.78,0.83,932.0
0.74,0.81,0.78,2310.0
0.73,0.87,0.79,175.0
0.88,0.82,0.85,1004.0
0.88,0.82,0.85,428.0
0.87,0.84,0.85,372.0
0.8,0.72,0.76,585.0
0.78,0.78,0.78,0.78
0.82,0.78,0.8,13659.0
0.79,0.78,0.79,13659.0
