precision,recall,f1-score,support
0.85,0.85,0.85,1561.0
0.93,0.72,0.81,648.0
0.78,0.8,0.79,571.0
0.99,0.99,0.99,434.0
0.92,0.92,0.92,620.0
1.0,0.93,0.96,174.0
0.88,0.91,0.89,381.0
0.85,0.81,0.83,1580.0
0.82,0.81,0.82,1334.0
0.86,0.85,0.86,401.0
0.94,0.62,0.75,149.0
0.93,0.88,0.9,932.0
0.82,0.89,0.85,2310.0
0.9,0.99,0.95,175.0
0.94,0.96,0.95,1004.0
0.94,0.85,0.89,428.0
0.91,0.92,0.91,372.0
0.74,0.9,0.81,585.0
0.86,0.86,0.86,0.86
0.89,0.87,0.87,13659.0
0.87,0.86,0.86,13659.0
